Date,Date (Days),Date (Years),Date Part (Years),Episode Title,Full Title,Movies or Series,Season,Title,Title + Season,Type,Type (group),avg titles per year,Documentary,Hours/Day,Length,Movie,Number of Records,Series
7/6/2016,"July 6, 2016",2016,2016,The Poker Game,How I Met Your Mother: Season 9: The Poker Game,True,Season 9,How I Met Your Mother,How I Met Your MotherSeason 9,Series,Series,1,,0.366666667,22,,1,1
7/7/2016,"July 7, 2016",2016,2016,Knight Vision,How I Met Your Mother: Season 9: Knight Vision,True,Season 9,How I Met Your Mother,How I Met Your MotherSeason 9,Series,Series,1,,0.366666667,22,,1,1
7/8/2016,"July 8, 2016",2016,2016,No Questions Asked,How I Met Your Mother: Season 9: No Questions Asked,True,Season 9,How I Met Your Mother,How I Met Your MotherSeason 9,Series,Series,1,,0.366666667,22,,1,1
7/11/2016,"July 11, 2016",2016,2016,The Lighthouse,How I Met Your Mother: Season 9: The Lighthouse,True,Season 9,How I Met Your Mother,How I Met Your MotherSeason 9,Series,Series,1,,0.366666667,22,,1,1
7/13/2016,"July 13, 2016",2016,2016,Platonish,How I Met Your Mother: Season 9: Platonish,True,Season 9,How I Met Your Mother,How I Met Your MotherSeason 9,Series,Series,1,,0.366666667,22,,1,1
7/14/2016,"July 14, 2016",2016,2016,Mom and Dad,How I Met Your Mother: Season 9: Mom and Dad,True,Season 9,How I Met Your Mother,How I Met Your MotherSeason 9,Series,Series,1,,0.366666667,22,,1,1
7/16/2016,"July 16, 2016",2016,2016,Bass Player Wanted,How I Met Your Mother: Season 9: Bass Player Wanted,True,Season 9,How I Met Your Mother,How I Met Your MotherSeason 9,Series,Series,1,,0.366666667,22,,1,1
7/16/2016,"July 16, 2016",2016,2016,Bedtime Stories,How I Met Your Mother: Season 9: Bedtime Stories,True,Season 9,How I Met Your Mother,How I Met Your MotherSeason 9,Series,Series,1,,0.366666667,22,,1,1
7/16/2016,"July 16, 2016",2016,2016,Slapsgiving 3,How I Met Your Mother: Season 9: Slapsgiving 3: Slappointment in Slapmarra,True,Season 9,How I Met Your Mother,How I Met Your MotherSeason 9,Series,Series,1,,0.366666667,22,,1,1
7/16/2016,"July 16, 2016",2016,2016,The Rehearsal Dinner,How I Met Your Mother: Season 9: The Rehearsal Dinner,True,Season 9,How I Met Your Mother,How I Met Your MotherSeason 9,Series,Series,1,,0.366666667,22,,1,1
7/17/2016,"July 17, 2016",2016,2016,How Your Mother Met Me,How I Met Your Mother: Season 9: How Your Mother Met Me,True,Season 9,How I Met Your Mother,How I Met Your MotherSeason 9,Series,Series,1,,0.366666667,22,,1,1
7/17/2016,"July 17, 2016",2016,2016,Rally,How I Met Your Mother: Season 9: Rally,True,Season 9,How I Met Your Mother,How I Met Your MotherSeason 9,Series,Series,1,,0.366666667,22,,1,1
7/17/2016,"July 17, 2016",2016,2016,Sunrise,How I Met Your Mother: Season 9: Sunrise,True,Season 9,How I Met Your Mother,How I Met Your MotherSeason 9,Series,Series,1,,0.366666667,22,,1,1
7/17/2016,"July 17, 2016",2016,2016,Unpause,How I Met Your Mother: Season 9: Unpause,True,Season 9,How I Met Your Mother,How I Met Your MotherSeason 9,Series,Series,1,,0.366666667,22,,1,1
7/18/2016,"July 18, 2016",2016,2016,Vesuvius,How I Met Your Mother: Season 9: Vesuvius,True,Season 9,How I Met Your Mother,How I Met Your MotherSeason 9,Series,Series,1,,0.366666667,22,,1,1
7/20/2016,"July 20, 2016",2016,2016,Daisy,How I Met Your Mother: Season 9: Daisy,True,Season 9,How I Met Your Mother,How I Met Your MotherSeason 9,Series,Series,1,,0.366666667,22,,1,1
7/20/2016,"July 20, 2016",2016,2016,Gary Blauman,How I Met Your Mother: Season 9: Gary Blauman,True,Season 9,How I Met Your Mother,How I Met Your MotherSeason 9,Series,Series,1,,0.366666667,22,,1,1
7/21/2016,"July 21, 2016",2016,2016,The End of the Aisle,How I Met Your Mother: Season 9: The End of the Aisle,True,Season 9,How I Met Your Mother,How I Met Your MotherSeason 9,Series,Series,1,,0.366666667,22,,1,1
7/22/2016,"July 22, 2016",2016,2016,Last Forever,How I Met Your Mother: Season 9: Last Forever: Part One,True,Season 9,How I Met Your Mother,How I Met Your MotherSeason 9,Series,Series,1,,0.366666667,22,,1,1
7/23/2016,"July 23, 2016",2016,2016,Last Forever,How I Met Your Mother: Season 9: Last Forever: Part Two,True,Season 9,How I Met Your Mother,How I Met Your MotherSeason 9,Series,Series,1,,0.366666667,22,,1,1
7/24/2016,"July 24, 2016",2016,2016,,Captain America: The First Avenger,False,,Captain America: The First Avenger,,Movie,Movies,1,,2.066666667,124,1,1,
7/28/2016,"July 28, 2016",2016,2016,The National Anthem,Black Mirror: Season 1: The National Anthem,True,Season 1,Black Mirror,Black MirrorSeason 1,Series,Series,1,,0.733333333,44,,1,1
7/30/2016,"July 30, 2016",2016,2016,Fifteen Million Merits,Black Mirror: Season 1: Fifteen Million Merits,True,Season 1,Black Mirror,Black MirrorSeason 1,Series,Series,1,,1.016666667,61,,1,1
8/6/2016,"August 6, 2016",2016,2016,The Entire History of You,Black Mirror: Season 1: The Entire History of You,True,Season 1,Black Mirror,Black MirrorSeason 1,Series,Series,1,,0.8,48,,1,1
8/6/2016,"August 6, 2016",2016,2016,The Waldo Moment,Black Mirror: Season 2: The Waldo Moment,True,Season 2,Black Mirror,Black MirrorSeason 2,Series,Series,1,,0.716666667,43,,1,1
8/6/2016,"August 6, 2016",2016,2016,White Bear,Black Mirror: Season 2: White Bear,True,Season 2,Black Mirror,Black MirrorSeason 2,Series,Series,1,,0.7,42,,1,1
8/7/2016,"August 7, 2016",2016,2016,White Christmas,Black Mirror: Season 2: White Christmas,True,Season 2,Black Mirror,Black MirrorSeason 2,Series,Series,1,,1.216666667,73,,1,1
8/11/2016,"August 11, 2016",2016,2016,,Pulp Fiction,False,,Pulp Fiction,,Movie,Movies,1,,2.966666667,178,1,1,
8/20/2016,"August 20, 2016",2016,2016,,Iron Man 3,False,,Iron Man 3,,Movie,Movies,1,,2.183333333,131,1,1,
9/19/2016,"September 19, 2016",2016,2016,Pilot,Star Trek: Season 1: Pilot: The Cage,True,Season 1,Star Trek,Star TrekSeason 1,Series,Series,1,,0.833333333,50,,1,1
10/2/2016,"October 2, 2016",2016,2016,Moment of Truth,Marvel's Luke Cage: Season 1: Moment of Truth,True,Season 1,Marvel's Luke Cage,Marvel's Luke CageSeason 1,Series,Series,1,,0.916666667,55,,1,1
10/3/2016,"October 3, 2016",2016,2016,Code of the Streets,Marvel's Luke Cage: Season 1: Code of the Streets,True,Season 1,Marvel's Luke Cage,Marvel's Luke CageSeason 1,Series,Series,1,,0.983333333,59,,1,1
10/5/2016,"October 5, 2016",2016,2016,Step in the Arena,Marvel's Luke Cage: Season 1: Step in the Arena,True,Season 1,Marvel's Luke Cage,Marvel's Luke CageSeason 1,Series,Series,1,,0.95,57,,1,1
10/5/2016,"October 5, 2016",2016,2016,Who's Gonna Take the Weight?,Marvel's Luke Cage: Season 1: Who's Gonna Take the Weight?,True,Season 1,Marvel's Luke Cage,Marvel's Luke CageSeason 1,Series,Series,1,,0.883333333,53,,1,1
10/9/2016,"October 9, 2016",2016,2016,Just to Get a Rep,Marvel's Luke Cage: Season 1: Just to Get a Rep,True,Season 1,Marvel's Luke Cage,Marvel's Luke CageSeason 1,Series,Series,1,,0.866666667,52,,1,1
10/9/2016,"October 9, 2016",2016,2016,Manifest,Marvel's Luke Cage: Season 1: Manifest,True,Season 1,Marvel's Luke Cage,Marvel's Luke CageSeason 1,Series,Series,1,,0.883333333,53,,1,1
10/9/2016,"October 9, 2016",2016,2016,Suckas Need Bodyguards,Marvel's Luke Cage: Season 1: Suckas Need Bodyguards,True,Season 1,Marvel's Luke Cage,Marvel's Luke CageSeason 1,Series,Series,1,,0.866666667,52,,1,1
10/11/2016,"October 11, 2016",2016,2016,Blowin' Up the Spot,Marvel's Luke Cage: Season 1: Blowin' Up the Spot,True,Season 1,Marvel's Luke Cage,Marvel's Luke CageSeason 1,Series,Series,1,,0.816666667,49,,1,1
10/12/2016,"October 12, 2016",2016,2016,DWYCK,Marvel's Luke Cage: Season 1: DWYCK,True,Season 1,Marvel's Luke Cage,Marvel's Luke CageSeason 1,Series,Series,1,,1.1,66,,1,1
10/13/2016,"October 13, 2016",2016,2016,Take It Personal,Marvel's Luke Cage: Season 1: Take It Personal,True,Season 1,Marvel's Luke Cage,Marvel's Luke CageSeason 1,Series,Series,1,,0.8,48,,1,1
10/14/2016,"October 14, 2016",2016,2016,Now You're Mine,Marvel's Luke Cage: Season 1: Now You're Mine,True,Season 1,Marvel's Luke Cage,Marvel's Luke CageSeason 1,Series,Series,1,,0.85,51,,1,1
10/16/2016,"October 16, 2016",2016,2016,Soliloquy of Chaos,Marvel's Luke Cage: Season 1: Soliloquy of Chaos,True,Season 1,Marvel's Luke Cage,Marvel's Luke CageSeason 1,Series,Series,1,,1.033333333,62,,1,1
10/18/2016,"October 18, 2016",2016,2016,You Know My Steez,Marvel's Luke Cage: Season 1: You Know My Steez,True,Season 1,Marvel's Luke Cage,Marvel's Luke CageSeason 1,Series,Series,1,,0.766666667,46,,1,1
10/18/2016,"October 18, 2016",2016,2016,Pilot,Scream: Season 1: Pilot,True,Season 1,Scream,ScreamSeason 1,Series,Series,1,,0.833333333,50,,1,1
10/22/2016,"October 22, 2016",2016,2016,,Iron Sky,False,,Iron Sky,,Movie,Movies,1,,1.55,93,1,1,
10/29/2016,"October 29, 2016",2016,2016,,Die Nordsee von oben,False,,Die Nordsee von oben,,Movie,Movies,1,,1.55,93,1,1,
10/29/2016,"October 29, 2016",2016,2016,,Halloween,False,,Halloween,,Movie,Movies,1,,1.733333333,104,1,1,
10/29/2016,"October 29, 2016",2016,2016,,VHS,False,,VHS,,Movie,Movies,1,,1.933333333,116,1,1,
10/31/2016,"October 31, 2016",2016,2016,,Kaya Yanar - Made in Germany,False,,Kaya Yanar - Made in Germany,,Movie,Movies,1,,1.5,90,1,1,
11/3/2016,"November 3, 2016",2016,2016,Nosedive,Black Mirror: Season 3: Nosedive,True,Season 3,Black Mirror,Black MirrorSeason 3,Series,Series,1,,1.05,63,,1,1
1/6/2017,"January 6, 2017",2017,2017,Horizons,Dirk Gently's Holistic Detective Agency: Season 1: Horizons,True,Season 1,Dirk Gently's Holistic Detective Agency,Dirk Gently's Holistic Detective AgencySeason 1,Series,Series,1,,0.883333333,53,,1,1
1/7/2017,"January 7, 2017",2017,2017,Lost & Found,Dirk Gently's Holistic Detective Agency: Season 1: Lost & Found,True,Season 1,Dirk Gently's Holistic Detective Agency,Dirk Gently's Holistic Detective AgencySeason 1,Series,Series,1,,0.7,42,,1,1
1/7/2017,"January 7, 2017",2017,2017,Rogue Wall Enthusiasts,Dirk Gently's Holistic Detective Agency: Season 1: Rogue Wall Enthusiasts,True,Season 1,Dirk Gently's Holistic Detective Agency,Dirk Gently's Holistic Detective AgencySeason 1,Series,Series,1,,0.7,42,,1,1
1/9/2017,"January 9, 2017",2017,2017,Watkin,Dirk Gently's Holistic Detective Agency: Season 1: Watkin,True,Season 1,Dirk Gently's Holistic Detective Agency,Dirk Gently's Holistic Detective AgencySeason 1,Series,Series,1,,0.7,42,,1,1
1/10/2017,"January 10, 2017",2017,2017,Very Erectus,Dirk Gently's Holistic Detective Agency: Season 1: Very Erectus,True,Season 1,Dirk Gently's Holistic Detective Agency,Dirk Gently's Holistic Detective AgencySeason 1,Series,Series,1,,0.7,42,,1,1
1/12/2017,"January 12, 2017",2017,2017,Fix Everything,Dirk Gently's Holistic Detective Agency: Season 1: Fix Everything,True,Season 1,Dirk Gently's Holistic Detective Agency,Dirk Gently's Holistic Detective AgencySeason 1,Series,Series,1,,0.7,42,,1,1
1/12/2017,"January 12, 2017",2017,2017,Weaponized Soul,Dirk Gently's Holistic Detective Agency: Season 1: Weaponized Soul,True,Season 1,Dirk Gently's Holistic Detective Agency,Dirk Gently's Holistic Detective AgencySeason 1,Series,Series,1,,0.7,42,,1,1
1/14/2017,"January 14, 2017",2017,2017,Two Sane Guys Doing Normal Things,Dirk Gently's Holistic Detective Agency: Season 1: Two Sane Guys Doing Normal Things,True,Season 1,Dirk Gently's Holistic Detective Agency,Dirk Gently's Holistic Detective AgencySeason 1,Series,Series,1,,0.7,42,,1,1
2/5/2017,"February 5, 2017",2017,2017,The Bad Beginning,A Series of Unfortunate Events: Season 1: The Bad Beginning: Part One,True,Season 1,A Series of Unfortunate Events,A Series of Unfortunate EventsSeason 1,Series,Series,1,,0.783333333,47,,1,1
2/13/2017,"February 13, 2017",2017,2017,The Bad Beginning,A Series of Unfortunate Events: Season 1: The Bad Beginning: Part Two,True,Season 1,A Series of Unfortunate Events,A Series of Unfortunate EventsSeason 1,Series,Series,1,,0.783333333,47,,1,1
2/23/2017,"February 23, 2017",2017,2017,The Reptile Room,A Series of Unfortunate Events: Season 1: The Reptile Room: Part One,True,Season 1,A Series of Unfortunate Events,A Series of Unfortunate EventsSeason 1,Series,Series,1,,0.783333333,47,,1,1
2/24/2017,"February 24, 2017",2017,2017,The Reptile Room,A Series of Unfortunate Events: Season 1: The Reptile Room: Part Two,True,Season 1,A Series of Unfortunate Events,A Series of Unfortunate EventsSeason 1,Series,Series,1,,0.783333333,47,,1,1
2/25/2017,"February 25, 2017",2017,2017,The Wide Window,A Series of Unfortunate Events: Season 1: The Wide Window: Part One,True,Season 1,A Series of Unfortunate Events,A Series of Unfortunate EventsSeason 1,Series,Series,1,,0.783333333,47,,1,1
3/1/2017,"March 1, 2017",2017,2017,The Wide Window,A Series of Unfortunate Events: Season 1: The Wide Window: Part Two,True,Season 1,A Series of Unfortunate Events,A Series of Unfortunate EventsSeason 1,Series,Series,1,,0.783333333,47,,1,1
3/14/2017,"March 14, 2017",2017,2017,The Miserable Mill,A Series of Unfortunate Events: Season 1: The Miserable Mill: Part One,True,Season 1,A Series of Unfortunate Events,A Series of Unfortunate EventsSeason 1,Series,Series,1,,0.783333333,47,,1,1
3/14/2017,"March 14, 2017",2017,2017,The Miserable Mill,A Series of Unfortunate Events: Season 1: The Miserable Mill: Part Two,True,Season 1,A Series of Unfortunate Events,A Series of Unfortunate EventsSeason 1,Series,Series,1,,0.783333333,47,,1,1
3/17/2017,"March 17, 2017",2017,2017,Green Arrow,Arrow: Season 4: Green Arrow,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
3/17/2017,"March 17, 2017",2017,2017,Restoration,Arrow: Season 4: Restoration,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
3/17/2017,"March 17, 2017",2017,2017,The Candidate,Arrow: Season 4: The Candidate,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
3/18/2017,"March 18, 2017",2017,2017,Beyond Redemption,Arrow: Season 4: Beyond Redemption,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
3/19/2017,"March 19, 2017",2017,2017,Brotherhood,Arrow: Season 4: Brotherhood,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
3/19/2017,"March 19, 2017",2017,2017,Haunted,Arrow: Season 4: Haunted,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
3/19/2017,"March 19, 2017",2017,2017,Lost Souls,Arrow: Season 4: Lost Souls,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
3/20/2017,"March 20, 2017",2017,2017,Legends of Yesterday,Arrow: Season 4: Legends of Yesterday,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
3/22/2017,"March 22, 2017",2017,2017,Blood Debts,Arrow: Season 4: Blood Debts,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
3/22/2017,"March 22, 2017",2017,2017,Dark Waters,Arrow: Season 4: Dark Waters,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
3/23/2017,"March 23, 2017",2017,2017,A.W.O.L.,Arrow: Season 4: A.W.O.L.,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
3/23/2017,"March 23, 2017",2017,2017,Unchained,Arrow: Season 4: Unchained,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
3/24/2017,"March 24, 2017",2017,2017,Sins of the Father,Arrow: Season 4: Sins of the Father,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
3/29/2017,"March 29, 2017",2017,2017,Code of Silence,Arrow: Season 4: Code of Silence,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
3/29/2017,"March 29, 2017",2017,2017,Taken,Arrow: Season 4: Taken,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
3/31/2017,"March 31, 2017",2017,2017,Broken Hearts,Arrow: Season 4: Broken Hearts,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
4/2/2017,"April 2, 2017",2017,2017,Beacon of Hope,Arrow: Season 4: Beacon of Hope,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
4/2/2017,"April 2, 2017",2017,2017,Canary Cry,Arrow: Season 4: Canary Cry,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
4/2/2017,"April 2, 2017",2017,2017,Eleven-Fifty-Nine,Arrow: Season 4: Eleven-Fifty-Nine,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
4/3/2017,"April 3, 2017",2017,2017,Genesis,Arrow: Season 4: Genesis,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
4/4/2017,"April 4, 2017",2017,2017,Monument Point,Arrow: Season 4: Monument Point,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
4/5/2017,"April 5, 2017",2017,2017,Lost in the Flood,Arrow: Season 4: Lost in the Flood,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
4/6/2017,"April 6, 2017",2017,2017,Schism,Arrow: Season 4: Schism,True,Season 4,Arrow,ArrowSeason 4,Series,Series,1,,0.716666667,43,,1,1
4/26/2017,"April 26, 2017",2017,2017,Playtest,Black Mirror: Season 3: Playtest,True,Season 3,Black Mirror,Black MirrorSeason 3,Series,Series,1,,0.95,57,,1,1
4/26/2017,"April 26, 2017",2017,2017,,Hot Pursuit,False,,Hot Pursuit,,Movie,Movies,1,,1.45,87,1,1,
4/27/2017,"April 27, 2017",2017,2017,Shut Up and Dance,Black Mirror: Season 3: Shut Up and Dance,True,Season 3,Black Mirror,Black MirrorSeason 3,Series,Series,1,,0.866666667,52,,1,1
5/5/2017,"May 5, 2017",2017,2017,San Junipero,Black Mirror: Season 3: San Junipero,True,Season 3,Black Mirror,Black MirrorSeason 3,Series,Series,1,,1.016666667,61,,1,1
5/11/2017,"May 11, 2017",2017,2017,Who Am I?,Sense8: Season 2: Who Am I?,True,Season 2,Sense8,Sense8Season 2,Series,Series,1,,0.916666667,55,,1,1
5/19/2017,"May 19, 2017",2017,2017,Obligate Mutualisms,Sense8: Season 2: Obligate Mutualisms,True,Season 2,Sense8,Sense8Season 2,Series,Series,1,,0.85,51,,1,1
5/21/2017,"May 21, 2017",2017,2017,Polyphony,Sense8: Season 2: Polyphony,True,Season 2,Sense8,Sense8Season 2,Series,Series,1,,0.966666667,58,,1,1
5/30/2017,"May 30, 2017",2017,2017,Fear Never Fixed Anything,Sense8: Season 2: Fear Never Fixed Anything,True,Season 2,Sense8,Sense8Season 2,Series,Series,1,,0.85,51,,1,1
6/19/2017,"June 19, 2017",2017,2017,"Isolated Above, Connected Below","Sense8: Season 2: Isolated Above, Connected Below",True,Season 2,Sense8,Sense8Season 2,Series,Series,1,,1.116666667,67,,1,1
6/27/2017,"June 27, 2017",2017,2017,All I Want Right Now Is One More Bullet,Sense8: Season 2: All I Want Right Now Is One More Bullet,True,Season 2,Sense8,Sense8Season 2,Series,Series,1,,1.016666667,61,,1,1
6/27/2017,"June 27, 2017",2017,2017,I Have No Room In My Heart For Hate,Sense8: Season 2: I Have No Room In My Heart For Hate,True,Season 2,Sense8,Sense8Season 2,Series,Series,1,,0.933333333,56,,1,1
6/29/2017,"June 29, 2017",2017,2017,What Family Actually Means,Sense8: Season 2: What Family Actually Means,True,Season 2,Sense8,Sense8Season 2,Series,Series,1,,0.95,57,,1,1
7/2/2017,"July 2, 2017",2017,2017,"If All the World's a Stage, Identity Is Nothing But a Costume","Sense8: Season 2: If All the World's a Stage, Identity Is Nothing But a Costume",True,Season 2,Sense8,Sense8Season 2,Series,Series,1,,0.866666667,52,,1,1
7/2/2017,"July 2, 2017",2017,2017,You Want a War?,Sense8: Season 2: You Want a War?,True,Season 2,Sense8,Sense8Season 2,Series,Series,1,,0.95,57,,1,1
7/10/2017,"July 10, 2017",2017,2017,Happy F*cking New Year.,Sense8: Season 2: Happy F*cking New Year.,True,Season 2,Sense8,Sense8Season 2,Series,Series,1,,2.066666667,124,,1,1
10/16/2015,"October 16, 2015",2015,2015,Limbic Resonance,Sense8: Season 1: Limbic Resonance,True,Season 1,Sense8,Sense8Season 1,Series,Series,1,,0.833333333,50,,1,1
7/12/2017,"July 12, 2017",2017,2017,Amor Vincit Omnia,Sense8: Season 2: Amor Vincit Omnia,True,Season 2,Sense8,Sense8Season 2,Series,Series,1,,2.516666667,151,,1,1
7/14/2017,"July 14, 2017",2017,2017,Kimmy Gets Divorced?!,Unbreakable Kimmy Schmidt: Season 3: Kimmy Gets Divorced?!,True,Season 3,Unbreakable Kimmy Schmidt,Unbreakable Kimmy SchmidtSeason 3,Series,Series,1,,0.466666667,28,,1,1
7/15/2017,"July 15, 2017",2017,2017,The Six Thatchers,Sherlock: Series 4: The Six Thatchers,True,Season 4,Sherlock,SherlockSeason 4,Series,Series,1,,1.466666667,88,,1,1
7/15/2017,"July 15, 2017",2017,2017,Kimmy Can't Help You!,Unbreakable Kimmy Schmidt: Season 3: Kimmy Can't Help You!,True,Season 3,Unbreakable Kimmy Schmidt,Unbreakable Kimmy SchmidtSeason 3,Series,Series,1,,0.466666667,28,,1,1
7/15/2017,"July 15, 2017",2017,2017,Kimmy's Roommate Lemonades!,Unbreakable Kimmy Schmidt: Season 3: Kimmy's Roommate Lemonades!,True,Season 3,Unbreakable Kimmy Schmidt,Unbreakable Kimmy SchmidtSeason 3,Series,Series,1,,0.466666667,28,,1,1
7/16/2017,"July 16, 2017",2017,2017,The Lying Detective,Sherlock: Series 4: The Lying Detective,True,Season 4,Sherlock,SherlockSeason 4,Series,Series,1,,1.466666667,88,,1,1
7/16/2017,"July 16, 2017",2017,2017,Kimmy Goes to College!,Unbreakable Kimmy Schmidt: Season 3: Kimmy Goes to College!,True,Season 3,Unbreakable Kimmy Schmidt,Unbreakable Kimmy SchmidtSeason 3,Series,Series,1,,0.466666667,28,,1,1
7/17/2017,"July 17, 2017",2017,2017,The Final Problem,Sherlock: Series 4: The Final Problem,True,Season 4,Sherlock,SherlockSeason 4,Series,Series,1,,1.466666667,88,,1,1
7/17/2017,"July 17, 2017",2017,2017,Kimmy Steps on a Crack!,Unbreakable Kimmy Schmidt: Season 3: Kimmy Steps on a Crack!,True,Season 3,Unbreakable Kimmy Schmidt,Unbreakable Kimmy SchmidtSeason 3,Series,Series,1,,0.466666667,28,,1,1
7/18/2017,"July 18, 2017",2017,2017,Kimmy Is a Feminist!,Unbreakable Kimmy Schmidt: Season 3: Kimmy Is a Feminist!,True,Season 3,Unbreakable Kimmy Schmidt,Unbreakable Kimmy SchmidtSeason 3,Series,Series,1,,0.466666667,28,,1,1
7/19/2017,"July 19, 2017",2017,2017,Kimmy Learns About the Weather!,Unbreakable Kimmy Schmidt: Season 3: Kimmy Learns About the Weather!,True,Season 3,Unbreakable Kimmy Schmidt,Unbreakable Kimmy SchmidtSeason 3,Series,Series,1,,0.466666667,28,,1,1
7/20/2017,"July 20, 2017",2017,2017,Kimmy Does a Puzzle!,Unbreakable Kimmy Schmidt: Season 3: Kimmy Does a Puzzle!,True,Season 3,Unbreakable Kimmy Schmidt,Unbreakable Kimmy SchmidtSeason 3,Series,Series,1,,0.466666667,28,,1,1
7/21/2017,"July 21, 2017",2017,2017,Kimmy Goes to Church!,Unbreakable Kimmy Schmidt: Season 3: Kimmy Goes to Church!,True,Season 3,Unbreakable Kimmy Schmidt,Unbreakable Kimmy SchmidtSeason 3,Series,Series,1,,0.466666667,28,,1,1
7/27/2017,"July 27, 2017",2017,2017,The Vanishing Of Will Byers,Stranger Things: Chapter One: The Vanishing Of Will Byers,True,Season 1,Stranger Things,Stranger ThingsSeason 1,Series,Series,1,,0.8,48,,1,1
7/27/2017,"July 27, 2017",2017,2017,Kimmy Pulls Off a Heist!,Unbreakable Kimmy Schmidt: Season 3: Kimmy Pulls Off a Heist!,True,Season 3,Unbreakable Kimmy Schmidt,Unbreakable Kimmy SchmidtSeason 3,Series,Series,1,,0.466666667,28,,1,1
8/3/2017,"August 3, 2017",2017,2017,Kimmy Googles the Internet!,Unbreakable Kimmy Schmidt: Season 3: Kimmy Googles the Internet!,True,Season 3,Unbreakable Kimmy Schmidt,Unbreakable Kimmy SchmidtSeason 3,Series,Series,1,,0.466666667,28,,1,1
8/4/2017,"August 4, 2017",2017,2017,Kimmy and the Trolley Problem!,Unbreakable Kimmy Schmidt: Season 3: Kimmy and the Trolley Problem!,True,Season 3,Unbreakable Kimmy Schmidt,Unbreakable Kimmy SchmidtSeason 3,Series,Series,1,,0.466666667,28,,1,1
8/7/2017,"August 7, 2017",2017,2017,Kimmy Bites an Onion!,Unbreakable Kimmy Schmidt: Season 3: Kimmy Bites an Onion!,True,Season 3,Unbreakable Kimmy Schmidt,Unbreakable Kimmy SchmidtSeason 3,Series,Series,1,,0.466666667,28,,1,1
8/12/2017,"August 12, 2017",2017,2017,Checking In,American Horror Story: Hotel: Checking In,True,Hotel,American Horror Story,American Horror StoryHotel,Series,Series,1,,0.833333333,50,,1,1
8/12/2017,"August 12, 2017",2017,2017,The Weirdo on Maple Street,Stranger Things: Chapter Two: The Weirdo on Maple Street,True,Season 1,Stranger Things,Stranger ThingsSeason 1,Series,Series,1,,0.916666667,55,,1,1
8/13/2017,"August 13, 2017",2017,2017,"Holly, Jolly","Stranger Things: Chapter Three: Holly, Jolly",True,Season 1,Stranger Things,Stranger ThingsSeason 1,Series,Series,1,,0.866666667,52,,1,1
8/15/2017,"August 15, 2017",2017,2017,The Body,Stranger Things: Chapter Four: The Body,True,Season 1,Stranger Things,Stranger ThingsSeason 1,Series,Series,1,,0.833333333,50,,1,1
8/17/2017,"August 17, 2017",2017,2017,The Flea and the Acrobat,Stranger Things: Chapter Five: The Flea and the Acrobat,True,Season 1,Stranger Things,Stranger ThingsSeason 1,Series,Series,1,,0.883333333,53,,1,1
8/18/2017,"August 18, 2017",2017,2017,The Upside Down,Stranger Things: Chapter Eight: The Upside Down,True,Season 1,Stranger Things,Stranger ThingsSeason 1,Series,Series,1,,0.783333333,47,,1,1
8/18/2017,"August 18, 2017",2017,2017,The Bathtub,Stranger Things: Chapter Seven: The Bathtub,True,Season 1,Stranger Things,Stranger ThingsSeason 1,Series,Series,1,,0.7,42,,1,1
8/18/2017,"August 18, 2017",2017,2017,The Monster,Stranger Things: Chapter Six: The Monster,True,Season 1,Stranger Things,Stranger ThingsSeason 1,Series,Series,1,,0.916666667,55,,1,1
